,ObsNum,xvs,LABEGRD_ID,UTMX,UTMY,DistRoad,DistTrail,DistRoadTrail,VETH,THIS,NET,MINT,Train,PercentSlope,DegreeDays,Aspect,EvapoTransAve,EvapoTransDiff,MoistIndexAve,MoistIndexDiff,PrecipAve,PrecipDiff,RelHumidAve,RelHumidDiff,PotGlobRadAve,PotGlobRadDiff,AveTempAve,AveTempDiff,DayTempAve,DayTempDiff,MaxTempAve,MaxTempDiff,MinTempAve,MinTempDiff,VapPressDefAve,VapPressDefDiff,SatVapPressAve,SatVapPressDiff,AmbVapPressAve,AmbVapPressDiff,KBvege,Weed,Elevation,TransAspect
1,3,1,1065,629548,4615835,3,2721,3,1,0,0,0,1,1.17,31713,298.3,0.887634409,0.680709165,-14.0938172,-25.94542371,13.05376344,-5.125800051,17.15107527,-1.568842806,616.1371864,262.5157962,27.71039427,18.29932156,33.06505376,19.23553507,53.03369176,22.70330261,2.373655914,13.89516129,22.40125448,10.14621736,44.68915771,16.85053763,22.28790323,6.704320277,99,1,5308,0.262955935
2,13,1,13003,621088,4616435,0,144,0,1,0,0,0,1,4.89,26938,324.24,0.770340502,0.612736815,-6.040681004,-25.97864183,17.52625448,-7.245039683,18.02159498,-1.618503584,588.9644265,268.3200013,23.05958781,17.60552355,27.94910394,18.4968254,46.16030466,21.79481567,-0.059767025,13.42160778,18.99417563,8.637877624,40.08646953,14.82066692,21.09229391,6.182789299,99,1,5318,0.094264029
3,31,1,24541,618958,4617005,512,41,41,0,1,0,0,1,1.1,28004,158.96,0.824910394,0.642645929,-8.120071685,-26.79898233,17.11084229,-7.146025346,17.88001792,-1.617780338,627.9526882,259.1448541,24.12356631,17.74706221,29.09184588,18.64630056,47.60519713,21.99270353,0.62311828,13.50410906,19.65268817,8.934011777,41.07706093,15.24177547,21.42437276,6.307763697,9,1,5101,0.966664997
4,37,1,25149,618868,4617035,531,54,54,0,1,0,0,1,3.98,27976,118.61,0.827688172,0.639868152,-8.159946237,-26.73466462,17.15430108,-7.165040963,17.88539427,-1.61000384,633.6541219,256.6697005,24.08548387,17.74468126,29.04292115,18.64114183,47.53718638,21.98476703,0.604121864,13.50690604,19.62275986,8.912435996,41.03082437,15.21733231,21.40806452,6.304896313,11,1,5114,0.739422528
5,81,1,29545,622438,4617245,421,964,421,0,1,0,0,1,3.52,27852,104.34,0.816756272,0.634491808,-8.25672043,-26.2499808,16.72419355,-6.84702381,17.87473118,-1.612205581,626.4928315,258.8268113,23.96577061,17.74242832,28.92858423,18.63860087,47.45,21.97407194,0.454659498,13.5156938,19.59543011,8.903814644,40.94094982,15.18724398,21.34551971,6.28342934,11,1,5141,0.623837712
6,109,1,33729,619648,4617455,1241,604,604,1,0,0,0,1,1.67,27730,267.27,0.813978495,0.63171403,-7.751344086,-26.4436956,17.14623656,-7.124071941,17.91541219,-1.607226062,620.8729391,260.7568676,23.85430108,17.7125384,28.7953405,18.60890937,47.22706093,21.94719662,0.451792115,13.48845366,19.47849462,8.844265233,40.81854839,15.12760497,21.34005376,6.283339734,10,1,5156,0.523814771
7,138,1,37422,620458,4617635,1097,601,601,0,1,0,0,1,0.45,27361,45,0.805824373,0.631912442,-7.360035842,-26.46852279,17.2875448,-7.14889913,17.97526882,-1.615508193,618.4336022,261.7103303,23.47051971,17.66454173,28.3844086,18.56379928,46.70448029,21.87786098,0.215053763,13.46197517,19.23637993,8.749180748,40.459319,14.98641193,21.22293907,6.237231183,8,1,5240,0.146446605
8,142,1,37507,623008,4617635,311,274,274,0,1,0,0,1,2.47,28157,275.52,0.816756272,0.634491808,-8.56281362,-26.08541347,16.41810036,-6.682456477,17.81478495,-1.612365591,617.2674731,261.1746736,24.240681,17.78510625,29.24157706,18.68423579,47.85277778,22.03271249,0.604301075,13.54249872,19.79417563,8.993919611,41.20770609,15.30965822,21.41353047,6.315738607,11,1,5077,0.451903438
9,145,1,38023,620158,4617665,1319,754,754,0,1,0,0,1,3.1,27457,274.39,0.808512545,0.62922427,-7.505824373,-26.36290963,17.22508961,-7.126619304,17.9562724,-1.615399386,617.881362,261.1920635,23.62562724,17.69143625,28.55035842,18.58225166,46.90869176,21.90991424,0.312992832,13.47517921,19.32885305,8.792511521,40.6061828,15.04585254,21.27732975,6.253341014,8,1,5216,0.461727537
10,198,1,59412,620278,4618715,1910,1585,1585,1,0,0,0,1,0.31,27730,0,0.813978495,0.63469022,-7.883960573,-26.4281682,17.01362007,-7.025211214,17.91272401,-1.615290579,618.4849462,261.6941116,23.85689964,17.72904506,28.80071685,18.62263825,47.2296595,21.95832693,0.457168459,13.49920635,19.48387097,8.855017921,40.8266129,15.14104583,21.34274194,6.286027906,8,1,5159,0
